datetime,CycleCount,MaxCapacity
2020-02-13 23:36:25,1,8764
2020-02-18 23:36:25,2,8903
2020-02-19 16:24:04,2,8924
2020-02-20 12:36:10,2,8871
2020-02-20 15:18:20,2,8871
2020-02-22 14:46:31,3,8883
2020-02-22 19:31:43,3,8876
2020-02-23 02:10:00,3,8884
2020-02-23 08:10:00,3,8876
2020-02-23 14:10:01,3,8883
2020-02-23 20:10:01,3,8914
2020-02-24 02:10:02,3,8933
2020-02-24 08:42:09,3,8938
2020-02-24 14:42:09,3,8911
2020-02-24 20:42:10,3,8904
2020-02-25 04:07:26,3,8898
2020-02-25 11:29:55,3,8889
2020-02-25 17:29:56,3,8890
2020-02-26 05:04:37,3,8872
2020-02-26 12:12:45,3,8855
2020-02-26 18:12:46,3,8884
2020-02-27 01:21:38,3,8163
2020-02-27 07:21:38,3,8193
2020-02-27 14:32:46,3,8181
2020-02-28 00:45:28,3,8677
2020-02-28 07:23:11,3,8774
2020-02-28 15:08:52,3,8761
2020-02-28 22:26:16,3,8864
2020-02-29 05:12:12,3,8859
2020-02-29 11:12:13,3,8864
2020-02-29 17:51:50,3,8860
2020-02-29 23:51:50,3,8851
2020-03-01 06:29:56,3,8863
2020-03-01 12:29:57,3,8836
2020-03-01 19:07:00,3,8857
2020-03-02 02:03:01,3,8858
2020-03-02 11:06:10,3,8849
2020-03-02 17:06:11,3,8901
2020-03-02 23:32:33,3,8900
2020-03-03 06:10:54,3,8900
2020-03-03 13:39:52,3,8888
2020-03-03 21:00:34,3,8889
2020-03-04 03:47:03,3,8886
2020-03-04 10:40:57,3,8892
2020-03-04 16:40:58,3,8886
2020-03-05 10:07:29,4,8875
2020-03-05 16:21:57,4,8841
2020-03-05 22:30:05,4,8841
2020-03-06 05:44:08,4,8848
2020-03-06 13:04:44,4,8850
2020-03-06 19:04:44,4,8842
2020-03-07 01:09:54,4,8861
2020-03-07 07:49:13,4,8879
2020-03-07 13:49:13,4,8875
2020-03-07 19:49:14,4,8884
2020-03-08 01:49:14,4,8874
2020-03-08 08:28:46,4,8874
2020-03-08 14:28:47,4,8891
2020-03-08 20:28:47,4,8882
2020-03-09 03:05:20,4,8871
2020-03-09 09:42:57,4,8885
